Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Colombia,COL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,31.5
Colombia,COL,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.97921294558376
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1519.26386326167
Comoros,COM,"Population, total",SP.POP.TOTL,786578
Comoros,COM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,55.3
Comoros,COM,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.953624433940436
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,557.044161335917
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,92947442
"Congo, Dem. Rep.",COD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,96.3
"Congo, Dem. Rep.",COD,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,0.533212092055207
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2488.42466724916
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5616661
"Congo, Rep.",COG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,69.8
"Congo, Rep.",COG,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,4.65582665573016
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12884.6859951947
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4999553
Costa Rica,CRI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,33.4
Costa Rica,CRI,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.171403523475
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2141.76836170115
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28193009
Cote d'Ivoire,CIV,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,61.1
Cote d'Ivoire,CIV,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,1.04362042377243
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,15563.8167397199
Croatia,HRV,"Population, total",SP.POP.TOTL,3949390
Croatia,HRV,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,31.6
Croatia,HRV,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,6.49297739650933
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,9232.26115935183
Cuba,CUB,"Population, total",SP.POP.TOTL,11202846
Cuba,CUB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,23.1
Cuba,CUB,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.87532775153742
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19220.6865793075
Curacao,CUW,"Population, total",SP.POP.TOTL,157441
Curacao,CUW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2.5
Curacao,CUW,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,..
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,29703.052734375
Cyprus,CYP,"Population, total",SP.POP.TOTL,1286671
Cyprus,CYP,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,12
Cyprus,CYP,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,7.57785012641149
